Epoch,train loss,train acc,val loss,val acc
1,5.020439386367798,0.02814094387755102,4.340607643127441,0.0
2,4.437201897303264,0.016927083333333332,4.164246559143066,0.012987012987012988
3,4.241863648096721,0.006510416666666667,4.011429786682129,0.012987012987012988
4,4.117207129796346,0.022932610544217687,4.028850078582764,0.03896103896103896
5,4.059772650400798,0.031542304421768703,4.140530109405518,0.0
6,4.028974016507466,0.039354804421768703,4.003459930419922,0.0
7,4.036832253138225,0.022932610544217687,4.1073832511901855,0.012987012987012988
8,4.0228095054626465,0.03284438775510204,3.9536678791046143,0.03896103896103896
9,3.9831480582555137,0.04065688775510204,3.9227850437164307,0.03896103896103896
10,3.983195145924886,0.037547831632653066,4.0415825843811035,0.025974025974025976
11,3.946411609649658,0.033349277210884355,3.9594995975494385,0.0
12,3.986578901608785,0.029443027210884352,3.9731953144073486,0.03896103896103896
13,3.9100691874821982,0.03675063775510204,4.0220112800598145,0.0
14,3.9564568599065146,0.021630527210884352,3.9048197269439697,0.025974025974025976
15,3.9419246514638266,0.02893813775510204,3.909456729888916,0.0
16,3.91579536596934,0.0234375,3.9717767238616943,0.025974025974025976
17,3.9263517459233603,0.042756164965986394,3.9317610263824463,0.0
18,3.9103447993596396,0.04065688775510204,3.9429056644439697,0.025974025974025976
19,3.916652242342631,0.04065688775510204,3.8823788166046143,0.0
20,3.889360189437866,0.043553358843537414,3.9113516807556152,0.03896103896103896
21,3.8774531284968057,0.039354804421768703,3.8625943660736084,0.03896103896103896
22,3.9124193588892617,0.034146471088435375,3.9338784217834473,0.025974025974025976
23,3.8869287172953286,0.053172831632653066,3.9642980098724365,0.0
24,3.9294808308283486,0.02734375,3.9299118518829346,0.025974025974025976
25,3.9041903018951416,0.03675063775510204,3.9392850399017334,0.012987012987012988
26,3.887203097343445,0.049266581632653066,3.916703224182129,0.025974025974025976
27,3.879204789797465,0.034651360544217684,3.8700613975524902,0.012987012987012988
28,3.8724707762400308,0.045360331632653066,3.9800264835357666,0.025974025974025976
29,3.8774417638778687,0.03675063775510204,3.9709675312042236,0.0
30,3.896868268648783,0.038849914965986394,3.914421558380127,0.0
31,3.8977108001708984,0.029947916666666668,3.8855092525482178,0.012987012987012988
32,3.8922380208969116,0.033854166666666664,3.983415365219116,0.012987012987012988
33,3.898726542790731,0.039354804421768703,3.814420223236084,0.03896103896103896
34,3.8899367650349936,0.046662414965986394,3.883162498474121,0.012987012987012988
35,3.8830027182896933,0.03284438775510204,3.9352481365203857,0.025974025974025976
36,3.841511686642965,0.05397002551020408,3.9448282718658447,0.025974025974025976
37,3.8657567501068115,0.04637011054421769,3.8785557746887207,0.025974025974025976
38,3.876121759414673,0.034943664965986394,3.846889019012451,0.03896103896103896
39,3.885073105494181,0.0625797193877551,3.877769947052002,0.025974025974025976
40,3.875901142756144,0.03284438775510204,3.909982204437256,0.03896103896103896
41,3.8831591606140137,0.04405824829931973,3.8805770874023438,0.03896103896103896
42,3.8785130182902017,0.047459608843537414,3.8407552242279053,0.03896103896103896
43,3.901324907938639,0.049771471088435375,3.897860527038574,0.0
44,3.880747397740682,0.0390625,3.9497909545898438,0.05194805194805195
45,3.8834826151529946,0.047167304421768703,3.8985788822174072,0.025974025974025976
46,3.8756701151529946,0.050356079931972796,3.8707821369171143,0.03896103896103896
47,3.8800665537516275,0.047459608843537414,3.9218947887420654,0.025974025974025976
48,3.8754069805145264,0.038052721088435375,3.8586785793304443,0.03896103896103896
49,3.879254619280497,0.04015199829931973,3.8995721340179443,0.025974025974025976
50,3.8803045749664307,0.040364583333333336,3.850492477416992,0.03896103896103896
51,3.9070873260498047,0.030745110544217687,3.8641130924224854,0.012987012987012988
52,3.8699095646540322,0.04405824829931973,3.9205784797668457,0.012987012987012988
