Epoch: 1, train loss: 4.692909399668376, train acc: 0.013818027210884353, val loss: 4.299701690673828, val acc: 0.05194805194805195
Epoch: 2, train loss: 4.305756092071533, train acc: 0.022135416666666668, val loss: 4.070556163787842, val acc: 0.03896103896103896
Epoch: 3, train loss: 4.1475404103597, train acc: 0.017724277210884352, val loss: 4.029548645019531, val acc: 0.012987012987012988
Epoch: 4, train loss: 4.051787535349528, train acc: 0.027636054421768707, val loss: 3.9807889461517334, val acc: 0.05194805194805195
Epoch: 5, train loss: 4.019472042719523, train acc: 0.03284438775510204, val loss: 4.011847019195557, val acc: 0.03896103896103896
Epoch: 6, train loss: 3.9718828201293945, train acc: 0.03284438775510204, val loss: 3.8847830295562744, val acc: 0.03896103896103896
Epoch: 7, train loss: 3.969587286313375, train acc: 0.033349277210884355, val loss: 3.910051107406616, val acc: 0.012987012987012988
Epoch: 8, train loss: 3.9196695486704507, train acc: 0.051578443877551026, val loss: 3.877018451690674, val acc: 0.05194805194805195
Epoch: 9, train loss: 3.909703254699707, train acc: 0.03985969387755102, val loss: 3.9404537677764893, val acc: 0.06493506493506493
Epoch: 10, train loss: 3.8993799289067588, train acc: 0.038052721088435375, val loss: 3.9250967502593994, val acc: 0.03896103896103896
Epoch: 11, train loss: 3.8862051963806152, train acc: 0.04876169217687074, val loss: 3.921234130859375, val acc: 0.03896103896103896
Epoch: 12, train loss: 3.8563244342803955, train acc: 0.045572916666666664, val loss: 3.797980308532715, val acc: 0.05194805194805195
Epoch: 13, train loss: 3.836556593577067, train acc: 0.05577699829931973, val loss: 3.7963178157806396, val acc: 0.06493506493506493
Epoch: 14, train loss: 3.841233174006144, train acc: 0.0390625, val loss: 3.8835630416870117, val acc: 0.06493506493506493
Epoch: 15, train loss: 3.827417492866516, train acc: 0.05737138605442177, val loss: 3.878709554672241, val acc: 0.012987012987012988
Epoch: 16, train loss: 3.789254903793335, train acc: 0.051365858843537414, val loss: 3.8486897945404053, val acc: 0.07792207792207792
Epoch: 17, train loss: 3.7945006291071572, train acc: 0.058381164965986394, val loss: 3.9418435096740723, val acc: 0.06493506493506493
Epoch: 18, train loss: 3.761034289995829, train acc: 0.038557610544217684, val loss: 3.8071975708007812, val acc: 0.03896103896103896
Epoch: 19, train loss: 3.7639495929082236, train acc: 0.062287414965986394, val loss: 3.870220184326172, val acc: 0.025974025974025976
Epoch: 20, train loss: 3.711163600285848, train acc: 0.0664859693877551, val loss: 3.767885684967041, val acc: 0.03896103896103896
